nome,latitude,longitude
AcomodaçÜo dos Tratadores,-22.8725,-43.40583333
Arena Carioca 1,-22.97888889,-43.39222222
Arena Carioca 2,-22.97777778,-43.39222222
Arena Carioca 3,-22.97666667,-43.39222222
Arena da Juventude,-22.85916667,-43.40305556
Arena de Volei de Praia,-22.96527778,-43.17277778
Arena do Futuro,-22.98055556,-43.3925
Arena Olimpica do Rio,-22.97555556,-43.39055556
Campo Olimpico de Golf,-23.005,-43.40694444
Centro Aquatico de Deodoro,-22.86166667,-43.40361111
Centro Aquàtico Maria Lenk,-22.97444444,-43.38805556
Centro de Mountain Bike,-22.85527778,-43.40083333
Centro de Operaç_es de Tecnologia,-22.9120257,-43.2048135
Centro de Operaç_es de Tecnologia Alternativo,-22.8656558,-43.4032885
Centro de Uniformes e Credenciamento,-22.8964084,-43.2003482
Centro Internacional de RadiodifusÜo (IBC),-22.97555556,-43.39805556
Centro Olimpico de BMX,-22.85888889,-43.41277778
Centro Olimpico de Hipismo,-22.86833333,-43.40666667
Centro Olimpico de Hoquei,-22.86055556,-43.4025
Centro Olimpico de Tenis,-22.97527778,-43.39472222
Centro Olimpico de Tiro,-22.85888889,-43.41277778
Centro Principal de Imprensa (MPC),-22.97416667,-43.39888889
EscritÑrio Rio 2016,-22.9120257,-43.2048135
Estadio da Lagoa,-22.97555556,-43.2175
Estadio de Canoagem Slalom,-22.84888889,-43.40138889
Estàdio de Deodoro,-22.86083333,-43.40666667
Estadio Olimpico,-22.89333333,-43.29222222
Estadio Olimpico Aquàtico,-22.97444444,-43.38805556
Forte de Copacabana,-22.98583333,-43.18527778
Hotel da FamÕlia OlÕmpica 2 - Windsor Barraæ & Windsor Oceänico,-23.01166667,-43.32222222
Hotel da FamÕlia ParalÕmpica - Windsor Barra,-23.0112972,-43.3240284
Hotel da Força de Trabalho do COI - OF3 ? Novotel Barra,-23.00944444,-43.35111111
Hotel Oficial da FamÕlia ParalÕmpica ? Windsor Oceänico,-23.010694,-43.3242697
Hotel Principal da FamÕlia OlÕmpica ? Windsor Marapendi,-23.010323,-43.353493
Maracana,-22.91138889,-43.23111111
Maracanazinho,-22.91361111,-43.22972222
Marina da Gloria,-22.91777778,-43.17166667
Pontal,-23.0325,-43.47083333
Riocentro - Pavilhao 2,-22.97611111,-43.41111111
Riocentro - Pavilhao 3,-22.97722222,-43.4125
Riocentro - Pavilhao 4,-22.97916667,-43.41277778
Riocentro - Pavilhao 6,-22.98027778,-43.41194444
Sambodromo,-22.91305556,-43.19638889
VelÑdromo OlÕmpico do Rio,-22.97527778,-43.39222222
Vila de Acomodaç_es da Barra 1,-23.02138889,-43.51166667
Vila de Acomodaç_es da Barra 2,-23.02277778,-43.51083333
Vila de Acomodaç_es da Barra 3,-22.96972222,-43.4225
Vila de Acomodaç_es da Barra 4,-22.96083333,-43.34277778
Vila de Acomodaç_es de Deodoro,-22.86638889,-43.38388889
Vila OlÕmpica e ParalÕmpica,-22.98305556,-43.41416667